orcid,name,n_papers,stab5_mean,stab5_std,stab5_min
0000-0001-6087-3610,prof. UAM dr hab. Tomasz Szulc,10,0.9981627237796783,0.0006075871037273895,0.9954363107681274
0000-0002-4958-0435,prof. UAM dr hab. Radosław Szwedek,10,0.9980867648124695,0.0006576433036406636,0.9964435696601868
0000-0003-1333-6438,dr Mirosława Kołowska-Gawiejnowicz,9,0.9949683970212937,0.004211363789021532,0.9806644320487976
0000-0002-6132-651X,Bartłomiej Grzelak,9,0.9985515207052231,0.0008400771971334262,0.9953877925872803
0000-0001-5494-0266,dr Adam Nawrocki,8,0.9983952087163925,0.00104899002247914,0.9953592419624329
0000-0002-5981-1057,dr Vitalii Marchenko,8,0.9979822909832001,0.0006712221506784915,0.9958325028419495
0000-0003-4036-3044,dr Michał Rzeczkowski,7,0.999473648071289,0.00017088795087689406,0.9991335272789001
0000-0003-0184-6211,Arturo Espinosa Baro,7,0.9988410484790802,0.000849653562483562,0.9964441061019897
0000-0002-9919-6757,dr Dorota Janina Blinkiewicz,7,0.9973880296945572,0.0010748537403950501,0.9940880537033081
0000-0002-1829-2289,dr Jolanta Marzec-Ballesteros,6,0.9997248470783233,0.00017187863241053023,0.9994184970855713
0000-0002-6981-5959,dr Irakli Kardava,6,0.9991841274499893,0.00032244950889383315,0.9985442161560059
0000-0002-8578-8997,dr Andrzej Kokosza,5,1.0000000369548798,5.5133490943179974e-08,1.0
0000-0002-6185-6115,dr inż. Marcin Michał Szczepański,5,1.0,0.0,1.0
0000-0002-2723-3790,Janik Kruse,5,1.0,0.0,1.0
0000-0002-6454-183X,dr Marcin Jan Żurowski,5,1.0000000011920929,1.1861174548943281e-08,1.0
0000-0002-5114-4210,prof. UAM dr Edyta Maria Juskowiak,5,0.9999999994039536,5.930587274471641e-09,0.9999999403953552
0000-0001-5016-1433,dr Michał Goliński,5,0.9999999439716339,1.4155318840787312e-08,0.9999999403953552
0000-0003-4242-9705,Michał Turski,5,1.0,0.0,1.0
0000-0002-7129-5059,Aleksandra Sadurska,5,0.9999999552965164,4.9421560620597e-08,0.9999998807907104
0000-0001-9360-3502,mgr inż. Piotr Adam Jabłoński,5,0.9999999916553497,2.068203875171837e-08,0.9999999403953552
0000-0002-7545-5152,Michał Piotr Junczyk,3,,,
0000-0002-7125-6113,dr Hubert Przybycień,2,,,
0000-0001-6024-6852,Jacek Kałużny,2,,,
0009-0000-1234-6728,mgr Dominika Grajewska,2,,,
0000-0003-1808-3222,Azam Jahandideh,2,,,
0000-0003-4604-4984,Mateusz Litka,2,,,
0000-0001-5386-5487,dr inż. Michał Krzysztof Ren,1,,,
0000-0002-1365-8587,dr Katarzyna Taczała,1,,,
0000-0003-2299-0888,Krzysztof Koczorowski,1,,,
