main_author_orcid,openalex_id,title,publication_year,publication_date,doi,type,cited_by_count,journal,topics,co_authors,co_author_orcids,num_co_authors,abstract,keywords
0000-0002-3517-9034,W2048524662,On a problem of Konyagin,2008,2008-01-01,https://doi.org/10.4064/aa134-2-1,article,7,Acta Arithmetica,Differential Equations and Boundary Problems; Nonlinear Differential Equations Analysis; advanced mathematical theories,Tomasz Schoen,0000-0002-9427-3127,1,,Mathematics; Mathematics education
0000-0002-3517-9034,W2030415839,A note on the density of sum-free sets,1995,1995-05-01,https://doi.org/10.1016/0097-3165(95)90098-5,article,6,Journal of Combinatorial Theory Series A,Limits and Structures in Graph Theory; Advanced Topology and Set Theory; Mathematical Dynamics and Fractals,,,0,,Mathematics; Computer science
0000-0002-3517-9034,W2069012352,Independent finite sums in graphs defined on the natural numbers,1998,1998-02-01,https://doi.org/10.1016/s0012-365x(97)00064-2,article,6,Discrete Mathematics,Limits and Structures in Graph Theory; Advanced Topology and Set Theory; Graph Labeling and Dimension Problems,Tomasz Schoen,0000-0002-9427-3127,1,,Mathematics; Combinatorics; Natural number; Discrete mathematics; Graph; Independent set; Finite set
0000-0002-3517-9034,W2066380283,Embedding trees into graphs of large girth,2000,2000-04-01,https://doi.org/10.1016/s0012-365x(99)00354-4,article,5,Discrete Mathematics,Advanced Graph Theory Research; Interconnection Networks and Systems; Graph theory and applications,,,0,,Mathematics; Combinatorics; Girth (graph theory); Conjecture; Embedding; Discrete mathematics; Graph; Tree (set theory); Degree (music); Computer science
0000-0002-3517-9034,W2894605505,A note on unique representation bases for the integers,2004,2004-01-01,https://doi.org/10.7169/facm/1538186626,article,5,Functiones et Approximatio Commentarii Mathematici,Coding theory and cryptography; graph theory and CDMA systems; Tensor decomposition and applications,Tomasz Schoen,0000-0002-9427-3127,1,,Representation (politics); Mathematics; Computer science; Algebra over a field; Pure mathematics; Political science
0000-0002-3517-9034,W2036768640,Solution-free sets for linear equations,2003,2003-05-28,https://doi.org/10.1016/s0022-314x(03)00064-7,article,4,Journal of Number Theory,Limits and Structures in Graph Theory; Advanced Topology and Set Theory; Advanced Graph Theory Research,Tomasz Schoen,0000-0002-9427-3127,1,,Mathematics; Natural number; Natural density; Integer (computer science); Set (abstract data type); Combinatorics; Linear equation; Discrete mathematics; Mathematical analysis
0000-0002-3517-9034,W4210535764,Colorful flowers,2009,2009-02-18,https://doi.org/10.1016/j.topol.2008.12.013,article,3,Topology and its Applications,Limits and Structures in Graph Theory; Advanced Topology and Set Theory; Advanced Graph Theory Research,Péter Komjáth,0000-0002-2806-6103,1,,Mathematics; Disjoint sets; Combinatorics; Generalization; Family of sets; Function (biology); Element (criminal law); Set (abstract data type); Discrete mathematics; Computer science
0000-0002-3517-9034,W1970738179,Holes in random graphs,1991,1991-02-01,https://doi.org/10.1016/0166-218x(91)90045-x,article,2,Discrete Applied Mathematics,Limits and Structures in Graph Theory; Advanced Graph Theory Research; Stochastic processes and statistical mechanics,,,0,,Mathematics; Combinatorics; Random graph; Random regular graph; Graph; Discrete mathematics; Chordal graph; 1-planar graph
0000-0002-3517-9034,W2136874650,Ramsey Properties of Families of Graphs,2002,2002-11-01,https://doi.org/10.1006/jctb.2002.2136,article,2,Journal of Combinatorial Theory Series B,Limits and Structures in Graph Theory; Advanced Topology and Set Theory; Advanced Graph Theory Research,Andrzej Ruciński,0000-0002-0742-7694,1,,Combinatorics; Graph; Colored; Mathematics; Property (philosophy); Relation (database); Discrete mathematics; Computer science
0000-0002-3517-9034,W2034072828,Graphs in which each C4 spans K4,1996,1996-06-01,https://doi.org/10.1016/0012-365x(94)00353-k,article,1,Discrete Mathematics,Limits and Structures in Graph Theory; graph theory and CDMA systems; Advanced Graph Theory Research,András Gyárfás,0000-0001-6173-1008,1,,Mathematics; Combinatorics; Homogeneous; Graph; Discrete mathematics
